m_dot,Wc,Wt,Wnet_work_based,Wnet_heat_based,bwr,thermal_efficiency,power_output,rc
5.807473338144495,243.98953424657537,800.2518181818182,556.2622839352427,556.2622839352427,30.48909464534833,41.63887732803953,3230.478382969285,8
5.807473338144495,279.675,864.3243902439024,584.6493902439024,584.6493902439024,32.35764293555096,44.964901748061116,3395.3357460038997,10
5.807473338144495,310.4569803921568,914.2241954817888,603.7672150896319,603.7672150896319,33.958517169691454,47.56120988834597,3506.36200407879,12
5.807473338144495,335.32908108108114,954.5287525469776,619.1996714658965,619.1996714658965,35.13032794311534,49.75166034232249,3595.9855830260244,14
5.807473338144495,362.29494488188976,988.1496901528013,625.8547452709115,625.8547452709115,36.66397393960289,51.400049846640805,3634.634746712033,16
5.807473338144495,384.69952517985604,1016.9117720115323,632.2122468316763,632.2122468316763,37.830177186255774,52.895474073452384,3671.555767523387,18
5.807473338144495,405.3912582781457,1042.219214876033,636.8279565978874,636.8279565978874,38.89692806386851,54.22033161125146,3698.361378927271,20
5.807473338144495,424.5861951219512,1063.9243801652892,639.338185043338,639.338185043338,39.90755386731417,55.33844125291125,3712.939463696877,22
5.807473338144495,442.5330588235294,1083.5063766339867,640.9733178104573,640.9733178104573,40.84268153532234,56.3553993935777,3722.435453646249,24
5.807473338144495,459.3935675675676,1101.100213046757,641.7066454791895,641.7066454791895,41.72132219431874,57.26882952409399,3726.694234530535,26
5.807473338144495,475.36959375,1117.1667567567567,641.7971630067568,641.7971630067568,42.55135510208377,58.10535851610062,3727.219912658517,28
5.807473338144495,490.3609558823529,1131.7648689138575,641.4039130315045,641.4039130315045,43.327105245186395,58.86875092905384,3724.9361239120135,30
5.807473338144495,525.2192561983472,1163.519150090416,638.2998938920687,638.2998938920687,45.14057685750449,60.52010009979843,3706.9096155186494,35
5.807473338144495,556.3618562874251,1190.0087769784172,633.6469206909921,633.6469206909921,46.75275233684395,61.90689950280719,3679.8875977102966,40
5.807473338144495,585.1698360655737,1212.5781277340332,627.4082916684595,627.4082916684595,48.25832024193701,63.07258060104011,3643.6569259953635,45
5.807473338144495,611.5044532488114,1232.7332499999998,621.2287967511884,621.2287967511884,49.605577950364484,64.1496528840928,3607.7696740201122,50
